代码,名称,总市值
SZ000632,三木集团,1620008100
SZ002076,*ST雪莱,1620555100
SH688215,瑞晟智能,1624422800
SH603139,康惠制药,1628044000
SH600539,ST狮头,1628400000
SZ300405,科隆股份,1628474200
SH600476,湘邮科技,1630028400
SZ002943,宇晶股份,1633000000
SZ002144,宏达高科,1633285800
SH603499,翔港科技,1633377400
SZ300321,同大股份,1633920000
SH603331,百达精工,1635629800
SZ000014,沙河股份,1635829100
SZ002319,*ST乐通,1636000000
SZ002848,高斯贝尔,1636398500
SH603329,上海雅仕,1638120000
SZ300025,华星创业,1641272100
SH600358,*ST联合,1646093500
SZ300611,美力科技,1651713600
SZ002890,弘宇股份,1663416500
SH603036,如通股份,1665848900
SZ300640,德艺文创,1673466900
SZ300555,路通视信,1674000000
SH600209,ST罗顿,1681412800
SZ002295,精艺股份,1681633400
SH600225,*ST松江,1683886700
SZ000856,冀东装备,1684340000
SH603007,花王股份,1685305400
SH603037,凯众股份,1685764700
SZ300163,先锋新材,1687440000
SH600769,祥龙电业,1691147200
SH603829,洛凯股份,1692800000
SH688078,龙软科技,1695170000
SH600889,南京化纤,1699845500
SH600272,开开实业,1701000000
SZ002321,华英农业,1709731500
SH600870,ST厦华,1710862900
SZ002826,易明医药,1714414900
SZ002464,众应互联,1716703500
SZ000571,*ST大洲,1717675000
SH688156,路德环境,1719244800
SZ000593,大通燃气,1721428800
SZ300534,陇神戎发,1726033100
SH603021,山东华鹏,1727719600
SZ000573,粤宏远Ａ,1742506000
SZ000691,亚太实业,1745658000
SZ300275,梅安森,1745993000
SZ002615,哈尔斯,1747059700
SH603555,*ST贵人,1747514000
SH603616,韩建河山,1748425600
SZ002337,赛象科技,1754074900
SZ002856,美芝股份,1755007100
SH603685,晨丰科技,1757600000
SH603388,元成股份,1759326500
SZ300153,科泰电源,1763200000
SZ300608,思特奇,1765710800
SZ002921,联诚精密,1765824000
SZ002888,惠威科技,1767911400
SH603178,圣龙股份,1768011800
SZ000613,大东海A,1773167000
SZ002893,华通热力,1775796400
SZ002207,准油股份,1779356000
SZ300742,越博动力,1780347600
SZ002417,深南股份,1782000000
SZ300546,雄帝科技,1782731100
SZ002231,奥维通信,1784000000
SH603725,天安新材,1784508900
SH603800,道森股份,1784640000
SH603042,华脉科技,1785680000
SZ002725,跃岭股份,1786880000
SZ002693,双成药业,1790100000
SZ300749,顶固集创,1791128900
SZ002858,力盛赛车,1791217600
SZ002347,泰尔股份,1792548800
SZ000978,桂林旅游,1793298000
SH603637,镇海股份,1793647000
SZ000782,美达股份,1795674700
SZ002722,金轮股份,1796881300
SZ002652,扬子新材,1797344600
SZ300338,开元教育,1801454100
SH688218,江苏北人,1802342400
SH600856,*ST中天,1803983800
SZ300235,方直科技,1807540800
SZ002336,ST人乐,1808400000
SZ300508,维宏股份,1814603500
SH603895,天永智能,1814663200
SH603159,上海亚虹,1815800000
SH600781,*ST辅仁,1818756800
SH600463,空港股份,1821000000
SZ300509,新美星,1822860000
SH600854,春兰股份,1823299500
SZ300652,雷迪克,1824186500
SZ300631,久吾高科,1824898400
SH603798,康普顿,1830000000
SH603578,三星新材,1831101500
SH600148,长春一东,1831222900
SH603006,联明股份,1832439800
SH600192,长城电工,1833254200
SZ000819,岳阳兴长,1833791100
SZ300649,杭州园林,1834240000
SZ000953,*ST河化,1834272200
SZ300779,惠城环保,1835000000
SZ000715,中兴商业,1837477700
SZ300703,创源股份,1838215800
SZ300606,金太阳,1839233800
SH603226,菲林格尔,1840563900
SZ002576,通达动力,1844167000
SZ002348,高乐股份,1847040000
SH688096,京源环保,1848667000
SH600149,ST坊展,1851379200
SZ300745,欣锐科技,1855250200
SZ002682,龙洲股份,1855816400
SH688081,兴图新科,1856192000
SZ300334,津膜科技,1857701900
SZ300437,清水源,1858371000
SZ300164,通源石油,1858979600
SH603926,铁流股份,1863265600
SZ002766,ST索菱,1864152700
SZ002817,黄山胶囊,1865311700
SH603559,中通国脉,1867371100
SZ002529,*ST海源,1869400000
SZ300022,吉峰科技,1870782700
SH600735,新华锦,1876201600
SH603955,大千生态,1877007600
SH600714,金瑞矿业,1878909300
SZ300162,雷曼光电,1880364000
SZ002247,*ST聚力,1880422800
SH600232,金鹰股份,1881947700
SZ300650,太龙照明,1884020600
SZ300609,汇纳科技,1886139400
SZ300807,天迈科技,1888293300
SZ300479,神思电子,1888772900
SZ002660,茂硕电源,1892861200
SH600082,海泰发展,1893119400
SZ002873,新天药业,1893152800
SZ002770,ST科迪,1894121300
SZ000590,启迪药业,1894217700
SZ000523,广州浪奇,1895150000
SZ002868,绿康生化,1899181500
SZ002762,金发拉比,1904654500
SZ300126,锐奇股份,1905814200
SZ000605,渤海股份,1907883000
SZ300240,飞力达,1908221900
SZ300786,国林科技,1912147200
SH603335,迪生力,1913806400
SH600191,华资实业,1915481400
SZ300076,GQY视讯,1916480000
SH600962,国投中鲁,1919377200
SZ002696,百洋股份,1921628000
SH603879,永悦科技,1922194900
SZ002787,华源控股,1930608100
SH603656,泰禾智能,1930649300
SZ300818,耐普矿机,1934100000
SZ300637,扬帆新材,1936688600
SZ002864,盘龙药业,1937074500
SZ300354,东华测试,1942015600
SH688379,华光新材,1942160000
SH603933,睿能科技,1945925000
SZ002687,乔治白,1946000000
SH600560,金自天正,1947952300
SZ300052,中青宝,1948192800
SZ300074,华平股份,1948709100
SZ300585,奥联电子,1948800000
SZ300514,友讯达,1954000000
SZ300547,川环科技,1956493700
SH600605,汇通能源,1958209600
SZ300345,华民股份,1959351900
SH600421,ST华嵘,1959912000
SH603009,北特科技,1960151800
SH603527,众源新材,1960345000
SZ000548,湖南投资,1961918100
SZ300268,佳沃股份,1963234000
SZ002903,宇环数控,1965812600
SZ002896,中大力德,1968000000
SH603838,四通股份,1968098400
SH605318,法狮龙,1968568400
SZ300335,迪森股份,1969112800
SH603041,美思德,1969777000
SZ000637,茂化实华,1970327600
SZ000673,*ST当代,1970960600
SH600265,ST景谷,1971662000
SZ002778,高科石化,1971993200
SH600139,西部资源,1972433700
SZ002418,*ST康盛,1977336000
SZ300312,邦讯技术,1977847200
SZ002370,亚太药业,1979899500
SZ300605,恒锋信息,1981952600
SH603050,科林电气,1985451600
SH688118,普元信息,1989090000
SZ002622,融钰集团,1990800000
SZ002789,建艺集团,1994678000
SH603790,雅运股份,1995884800
SH600281,太化股份,2006167900
SZ300645,正元智慧,2007746600
SH600159,大龙地产,2008607800
SH600678,四川金顶,2010182400
SZ300220,金运激光,2013984000
SZ300688,创业黑马,2014905600
SZ000701,厦门信达,2018196900
SH603168,莎普爱思,2019429000
SH600555,*ST海创,2020425000
SH603032,德新交运,2020901000
SZ002808,恒久科技,2021376000
SZ300517,海波重科,2022457700
SH600235,民丰特纸,2023488000
SZ300694,蠡湖股份,2023979600
SH603709,中源家居,2024000000
SZ300295,三六五网,2026712900
SZ300789,唐源电气,2026920000
SH600654,ST中安,2027173200
SZ000668,荣丰控股,2027886500
SZ300430,诚益通,2031906500
SZ002692,ST远程,2032353200
SZ300556,丝路视觉,2032740700
SZ002420,ST毅昌,2033070000
SZ300698,万马科技,2034120000
SH600234,ST山水,2034581100
SH600589,广东榕泰,2034656200
SH603683,晶华新材,2037339200
SZ002776,柏堡龙,2038978700
SZ300643,万通智控,2044000000
SH603863,松炀资源,2046586400
SH603937,丽岛新材,2057468000
SZ000533,顺钠股份,2058631700
SH603767,中马传动,2060039500
SZ002492,恒基达鑫,2061450000
SZ300473,德尔股份,2063002800
SH603779,ST威龙,2063044800
SZ300309,吉艾科技,2064668400
SZ300615,欣天科技,2064816000
SZ002599,盛通股份,2065657700
SH603266,天龙股份,2066680600
SZ300515,三德科技,2067738000
SZ002598,山东章鼓,2071680000
SZ000506,中润资源,2071709600
SZ300387,富邦股份,2072569900
SZ300340,科恒股份,2072653900
SZ300594,朗进科技,2077677500
SZ002718,友邦吊顶,2078190200
SZ002114,罗平锌电,2079431600
SZ002774,快意电梯,2083246100
SZ300250,初灵信息,2083304400
SH603615,茶花股份,2083566000
SZ300092,科新机电,2084391000
SZ000890,*ST胜尔,2084934700
SH688679,通源环境,2085964500
SZ300583,赛托生物,2086062400
SH603617,君禾股份,2086353800
SZ300591,万里马,2090452800
SH603289,泰瑞机器,2091712000
SZ300597,吉大通信,2092800000
SZ002742,三圣股份,2095200000
SZ002323,*ST雅博,2095500300
SH600883,博闻科技,2096461400
SZ300505,川金诺,2098784400
SH600423,ST柳化,2100567900
SZ300356,光一科技,2100708800
SZ002861,瀛通通讯,2103576900
SZ002103,广博股份,2105035400
SZ002265,西仪股份,2105722400
SZ002781,奇信股份,2106000000
SZ300210,森远股份,2106356800
SZ002306,ST云网,2108400000
SZ002098,浔兴股份,2108620000
SZ000619,海螺型材,2109600000
SH600354,*ST敦种,2111208300
SZ002820,桂发祥,2111488000
SZ300141,和顺电气,2112319900
SH600697,欧亚集团,2112689600
SZ002504,弘高创意,2113149100
SZ000606,顺利办,2113606200
SZ002113,*ST天润,2114765800
SH688013,天臣医疗,2116000000
SH688080,映翰通,2117074400
SZ300344,立方数科,2123371600
SZ002809,红墙股份,2124319700
SH600573,惠泉啤酒,2125000000
SZ002159,三特索道,2125842900
SH600857,宁波中百,2126552800
SH603268,松发股份,2128253200
SZ300836,佰奥智能,2132280100
SZ002931,锋龙股份,2133120000
SZ002495,佳隆股份,2133226400
SH603696,安记食品,2135616000
SZ002574,明牌珠宝,2138400000
SH688159,有方科技,2142549800
SZ002278,神开股份,2143427800
SZ002885,京泉华,2143800000
SZ300049,福瑞股份,2143882800
SZ000554,泰山石油,2144338200
SZ000151,中成股份,2145855000
SZ002769,普路通,2146578800
SZ002910,庄园牧场,2152198300
SH600630,龙头股份,2154048300
SH603101,汇嘉时代,2154432000
SZ300371,汇中股份,2155684100
SZ003007,直真科技,2163200000
SZ002150,通润装备,2164058500
SH603819,神力股份,2164238100
SH600448,华纺股份,2166579600
SH600830,香溢融通,2167119500
SH603677,奇精机械,2167290700
SZ300269,联建光电,2175001100
SH603701,德宏股份,2177721800
SZ300350,华鹏飞,2178630700
SZ300689,澄天伟业,2182800000
SZ300108,吉药控股,2184528100
SH603022,新通联,2188000000
SH600833,第一医药,2188477100
SH600145,*ST新亿,2191917600
SH603321,梅轮电梯,2191980000
SZ300139,晓程科技,2194740000
SZ002740,爱迪尔,2197655600
SH603011,合锻智能,2203962600
SZ300278,华昌达,2204993900
SZ300707,威唐工业,2205157500
SH688004,博汇科技,2207816000
SH688129,东来技术,2214000000
SZ002575,*ST群兴,2215017600
SH601798,蓝科高新,2215801200
SH688551,科威尔,2219200000
SH603717,天域生态,2219689500
SH688310,迈得医疗,2221252000
SH600712,南宁百货,2222193900
SH688577,浙海德曼,2223634900
SH603929,亚翔集成,2225344800
SZ000153,丰原药业,2225567000
SZ300491,通合科技,2226546800
SZ300279,和晶科技,2226752300
SZ002136,安 纳 达,2227607200
SZ002620,瑞和股份,2228139900
SZ300710,万隆光电,2228582700
SZ002134,天津普林,2229857400
SZ300813,泰林生物,2230032700
SH603900,莱绅通灵,2230103700
SZ000721,西安饮食,2230780000
SZ002728,特一药业,2232590800
SZ002811,郑中设计,2233058400
SZ000023,深天地Ａ,2233975500
SH600080,ST金花,2235889000
SZ300644,南京聚隆,2240000000
SH603332,苏州龙杰,2240791900
SH600540,新赛股份,2241595000
SH603667,五洲新春,2245113000
SH603059,倍加洁,2246000000
SZ000409,ST地矿,2248097100
SZ300281,金明精机,2249619600
SZ002094,青岛金王,2252326000
SZ300412,迦南科技,2253290100
SZ300106,西部牧业,2254915700
SZ300370,安控科技,2258865400
SH603023,威帝股份,2259560800
SZ002514,宝馨科技,2260459800
SH603903,中持股份,2261755900
SH600543,莫高股份,2263896000
SZ300175,朗源股份,2264548000
SZ300135,宝利国际,2267136000
SH603998,方盛制药,2267388900
SH603117,万林物流,2267530800
SH603843,正平股份,2268017000
SZ002133,广宇集团,2268242400
SZ300826,测绘股份,2268800000
SZ000430,张家界,2271027200
SZ000705,浙江震元,2272038300
SH603880,南卫股份,2274318000
SH603726,朗迪集团,2276083700
SZ300808,久量股份,2276800000
SZ000595,*ST宝实,2277312700
SZ002877,智能自控,2277774900
SZ300519,新光药业,2278400000
SH603161,科华控股,2281140000
SH603099,长白山,2282695200
SZ002671,龙泉股份,2284729400
SH603038,华立股份,2285076500
SZ002790,瑞尔特,2288259600
SZ300584,海辰药业,2288400000
SH600322,天房发展,2288799000
SZ000678,襄阳轴承,2288866700
SH600289,*ST信通,2290719000
SH688600,皖仪科技,2290781200
SH603602,纵横通信,2291215300
SZ002816,和科达,2292000000
SH600892,*ST大晟,2293803200
SZ002005,ST德豪,2294136000
SH688668,鼎通科技,2295374400
SZ002148,北纬科技,2297041300
SZ300849,锦盛新材,2298000000
SH603500,祥和实业,2298492000
SH600097,开创国际,2298534800
SH600725,ST云维,2304718900
SZ002771,真视通,2305307500
SZ300165,天瑞仪器,2311007500
SH603922,金鸿顺,2311680000
SH603603,博天环境,2314523700
SZ002715,登云股份,2315640000
SH600530,*ST交昂,2316600000
SZ002566,益盛药业,2316661200
SZ300306,远方信息,2318424700
SZ300407,凯发电气,2318700500
SZ300150,世纪瑞尔,2322871000
SZ300247,融捷健康,2323676500
SZ300419,浩丰科技,2324203800
SH688090,瑞松科技,2324613900
SZ000716,黑芝麻,2328718600
SZ300621,维业股份,2330809600
SZ300781,因赛集团,2332497800
SZ300500,启迪设计,2332800100
SZ300537,广信材料,2333703500
SZ003023,彩虹集团,2333721600
SZ300540,深冷股份,2334234100
SZ300592,华凯创意,2335031400
SZ300449,汉邦高科,2338349800
SZ300780,德恩精工,2339386500
SH600356,恒丰纸业,2342054000
SH603773,沃格光电,2345023800
SH603536,惠发食品,2346243900
SH603918,金桥信息,2348092500
SZ002902,铭普光磁,2349900000
SZ000677,恒天海龙,2350020000
SH688618,三旺通信,2352054900
SH605255,天普股份,2353104000
SZ300013,新宁物流,2354041100
SH603066,音飞储存,2354503700
SZ300521,爱司凯,2358720000
SZ300730,科创信息,2359315300
SZ002927,泰永长征,2361888700
SZ300086,康芝药业,2362500000
SZ300795,米奥会展,2365873700
SH601007,金陵饭店,2367000000
SZ300817,双飞股份,2367929500
SZ002476,宝莫股份,2368440000
SZ300283,温州宏丰,2369001900
SH603086,先达股份,2371010400
SH603278,大业股份,2371660100
SH600257,大湖股份,2372499300
SZ300195,长荣股份,2375203100
SZ002363,隆基机械,2375932700
SZ002676,顺威股份,2376000000
SH603177,德创环保,2377540000
SZ002388,新亚制程,2377778400
SH688309,恒誉环保,2378719100
SH600052,浙江广厦,2380629200
SZ002442,龙星化工,2380800000
SZ300528,幸福蓝海,2380965500
SZ300720,海川智能,2381400000
SZ000608,阳光股份,2384724300
SH600749,西藏旅游,2385407600
SH603183,建研院,2386240600
SZ300336,新文化,2386441400
SZ300042,朗科科技,2386764000
SH603928,兴业股份,2386944000
SH600367,红星发展,2387461800
SZ002089,ST新海,2391925100
SZ002655,共达电声,2394000000
SZ002976,瑞玛工业,2396000000
SZ300105,龙源技术,2396718700
SZ000419,通程控股,2397199500
SH603722,阿科力,2398055600
SZ002805,丰元股份,2398616600
SZ300532,今天国际,2398933100
SH605155,西大门,2400000000
SZ002952,亚世光电,2404294200
SZ000610,西安旅游,2405358700
SZ002865,钧达股份,2406094400
SZ002786,银宝山新,2413249200
SZ003004,声迅股份,2413461600
SZ000005,世纪星源,2413464000
SZ002963,豪尔赛,2414780500
SH600613,神奇制药,2419344500
SZ002178,延华智能,2421320200
SH603488,展鹏科技,2422044100
SH600287,江苏舜天,2424756800
SH600119,ST长投,2425395300
SZ300157,恒泰艾普,2428306200
SZ002917,金奥博,2428528800
SH603192,汇得科技,2430933300
SZ300154,瑞凌股份,2431280600
SZ300681,英搏尔,2432808000
SH603628,清源股份,2434082000
SH688528,秦川物联,2434320000
SZ300756,金马游乐,2434952900
SH603199,九华旅游,2436066800
SZ002835,同为股份,2436228200
SZ002795,永和智控,2438000000
SZ002272,川润股份,2438088700
SH600078,澄星股份,2438268100
SZ300333,兆日科技,2439360000
SZ002775,文科园林,2440739000
SH603030,全筑股份,2443101300
SH603089,正裕工业,2445016900
SZ002168,ST惠程,2445885200
SH600090,*ST济堂,2447427000
SZ300399,天利科技,2448264000
SH603015,弘讯科技,2449567100
SH605128,上海沿浦,2449600000
SH600793,宜宾纸业,2450120400
SZ300467,迅游科技,2450651100
SZ000803,北清环能,2453605000
SZ002618,丹邦科技,2454681600
SH605151,西上海,2454789400
SH688335,复洁环保,2454853000
SZ000952,广济药业,2456724900
SH600684,珠江股份,2457966900
SH603633,徕木股份,2458466200
SZ002922,伊戈尔,2460905300
SH603322,超讯通信,2463107000
SH688168,安博通,2463293400
SH600101,明星电力,2465381100
SZ000711,京蓝科技,2467039400
SH603311,金海高科,2467500000
SH600818,中路股份,2468719900
SZ002066,瑞泰科技,2469390000
SH688056,莱伯泰科,2475650000
SZ000633,合金投资,2476234000
SZ300484,蓝海华腾,2479360000
SZ000757,浩物股份,2479385100
SH688616,西力科技,2479500000
SZ300404,博济医药,2481483000
SH688178,万德斯,2482787000
SZ002659,凯文教育,2482863600
SZ002870,香山股份,2483434800
SZ002638,*ST勤上,2485158500
SZ300796,贝斯美,2485998000
SZ300823,建科机械,2487736200
