ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city
300317.SZ,丁孔贤,李雳,刘雪芬,82428.3865,19930717,广东,深圳市
002106.SZ,臧卫东,李绍宗,王行村,70581.616,19920721,广东,深圳市
002142.SZ,陆华裕,罗孟波,俞罡,600801.6286,19970410,浙江,宁波市
002405.SZ,岳涛,程鹏,孟庆昕,228113.156,20021203,北京,北京市
300100.SZ,邬建斌,邬建斌,朱黎明,40655.5894,20001123,浙江,宁波市
300092.SZ,林祯华,李勇,杨辉,23159.9,19970311,四川,德阳市
002357.SZ,董和玉,蔡亮发,曹洪,31348.9036,20020318,四川,绵阳市
003031.SZ,王强,付花亮,董惠,10666.6667,20090806,河北,石家庄市
002947.SZ,荆天平,荆天平,荆京平,12664.951,20110727,江苏,苏州市
300859.SZ,吴科年,李新萍,杨晓红,15500,20010118,新疆,昌吉回族自治州
300037.SZ,覃九三,周达文,贺靖策,41079.2913,20020219,广东,深圳市
002411.SZ,谷晓嘉,谷晓嘉,谷晓嘉,153228.3909,20021230,陕西,延安市
002428.SZ,包文东,包文东,金洪国,65312,19980819,云南,临沧市
002442.SZ,刘鹏达,魏亮,刘飞舟,48000,20040804,河北,邢台市
002424.SZ,姜伟,牛民,牛民,141120,19990325,贵州,安顺市
002464.SZ,李化亮,朱恩乐,郑维,52179.4388,19930402,新疆,伊犁哈萨克自治州
002393.SZ,徐道情,王福军,马霏霏,18245.4992,19810617,天津,天津市
002394.SZ,薛庆龙,于拥军,潘志刚,33276.36,20021111,江苏,南通市
300105.SZ,杨怀亮,杨怀亮,刘克冷,51321.6,19981226,山东,烟台市
300077.SZ,孙迎彤,孙迎彤,叶艳桃,55761.5,20000320,广东,深圳市
300181.SZ,汪涛,汪涛,郑超一,60862.4848,20000128,浙江,湖州市
300140.SZ,周康,赵文峰,郭新安,42724.4052,20010328,陕西,西安市
002144.SZ,沈国甫,许建舟,马强强,17676.2528,19970724,浙江,嘉兴市
300098.SZ,刘双广,刘双广,黄璨,176386.2485,19971114,广东,广州市
300087.SZ,覃衡德,张琴,张庆一,43033.0071,20020724,安徽,合肥市
002388.SZ,许雷宇,胡大富,伍娜,50376.66,20030110,广东,深圳市
300066.SZ,李建林,李强祖,倪国强,104003.3262,20040513,江西,鹰潭市
300757.SZ,戴军,戴军,王宏军,10400,20110414,江苏,苏州市
300564.SZ,徐先林,徐先林,陈绍锋,10000,19960325,西藏,拉萨市
002302.SZ,吴志旗,白建军,林彬,126235.4304,20011018,新疆,乌鲁木齐市
002140.SZ,吴光美,李立新,张学明,54536.644,20010718,安徽,合肥市
002298.SZ,瞿洪桂,瞿洪桂,汪宇,69150.5915,19980515,安徽,芜湖市
002413.SZ,戴斌,刘峰,高立宁,125452.1674,20021211,江苏,常州市
002416.SZ,黄文辉,周友盟,吴海南,123928.1806,19980608,广东,深圳市
002486.SZ,潘国正,潘国正,胡培培,83200,20010120,上海,上海市
002369.SZ,陈新民,萧维周,杨栋,57676.9204,20040226,广东,深圳市
002877.SZ,沈剑标,沈剑标,沈剑飞,33252.1887,20011112,江苏,无锡市
300569.SZ,欧辉生,郑旭,方瑞征,39186.666,20060303,山东,青岛市
300089.SZ,蔡廷祥,蔡廷祥,蔡廷祥,48105.687,19960201,广东,潮州市
300253.SZ,周炜,王涛,靳茂,213596.533,20040407,上海,上海市
300238.SZ,张永明,王新志,赵军会,26515.5701,19991022,广东,广州市
300492.SZ,陈栗,陈栗,吴艳兰,14104.737,20030213,四川,成都市
300931.SZ,徐志明,徐志明,李彪,24014.6,20030821,江苏,苏州市
002456.SZ,赵伟,赵伟,郭瑞,269473.9325,20010312,广东,深圳市
300053.SZ,颜志宇,颜志宇,吴可嘉,70215.8212,20000320,广东,珠海市
300057.SZ,杜成城,杜成城,黄薇,67456.5338,19980306,广东,汕头市
300055.SZ,王长荣,何勇,杜政修,86518.4815,19980417,北京,北京市
300315.SZ,刘惠城,刘惠城,王娉,275748.4192,20040802,北京,北京市
002930.SZ,林海川,林海川,李军印,44399.4496,20121106,广东,东莞市
300891.SZ,何明川,何明川,殷健,40000,20030928,广东,云浮市
300173.SZ,王贵银,陈武,朱红强,73472.5698,19970418,广东,佛山市
300104.SZ,刘延峰,刘延峰,刘延峰,398944.0192,20041110,北京,北京市
002574.SZ,虞阿五,虞豪华,虞豪华,52800,20021015,浙江,绍兴市
300440.SZ,何鸿云,卜显利,王海峰,44800,20060310,四川,成都市
300065.SZ,申万秋,陈炜,葛井波,39817.4035,20010214,北京,北京市
300058.SZ,赵文权,赵文权,秦峰,249103.7834,20021104,北京,北京市
300846.SZ,曲宁,曲宁,杨丽萍,41131.6277,20050713,北京,北京市
300634.SZ,杨良志,白琳,陈学军,40001,20040106,广东,深圳市
002514.SZ,张大钊,张大钊,罗旭,55403.4264,20011008,江苏,苏州市
300145.SZ,杭军,沈金浩,徐金磊,192343.8236,19910831,浙江,杭州市
300148.SZ,袁雄贵,肖翛,喻宇汉,84054.8046,20030818,湖南,长沙市
300064.SZ,郭留希,刘永奇,郭留希,120547.6595,20041224,河南,郑州市
002374.SZ,钱建蓉,朱亚辉,朱拓,108795.3783,19950216,山东,烟台市
002389.SZ,胡梅晓,秦永明,杜志喜,94606.2685,20011130,浙江,台州市
002395.SZ,刘连伟,刘连伟,沈铭,26820.9,20021202,江苏,无锡市
002387.SZ,程涛,张德强,刘宇宙,136766.3046,19980107,江苏,苏州市
002603.SZ,吴相君,吴相君,吴瑞,120371.7463,20010828,河北,石家庄市
300153.SZ,谢松峰,周路来,徐坤,32000,20020619,上海,上海市
300694.SZ,王洪其,王洪其,王晓君,21531.6977,19940411,江苏,无锡市
300048.SZ,伏拥军,宁裕,范潇,110727.4357,20030611,北京,北京市
002566.SZ,张益胜,薛晓民,丁富君,33095.16,19970611,吉林,通化市
002390.SZ,安怀略,孔令忠,陈船,166722.8611,19950127,贵州,黔南布依族苗族自治州
002398.SZ,蔡永太,蔡永太,林祥毅,72049.0406,20040409,福建,厦门市
300218.SZ,姚和平,姚和平,刘松霞,21698.7,19940712,安徽,合肥市
002556.SZ,刘贵华,刘贵华,董庆,90311.4618,19900704,安徽,合肥市
300680.SZ,倪铭,倪铭,徐行,14417.9563,20040616,江苏,无锡市
002827.SZ,杨丽华,拉巴次仁,刘长江,27600,20070608,西藏,拉萨市
002673.SZ,徐朝晖,齐冰,黄斌,446958.1705,20010109,陕西,西安市
002458.SZ,曹积生,曹积生,林杰,99218.2349,19970422,山东,烟台市
300043.SZ,陈雁升,陈创煌,刘胜华,124419.8401,20000531,广东,汕头市
002378.SZ,黄世春,黄世春,刘佶,92416.7436,20000228,江西,赣州市
300046.SZ,邢雁,袁雄,康进,21312,20040102,湖北,襄阳市
300402.SZ,高颀,吴丕杰,刘义忠,20200,19940505,江苏,南京市
002532.SZ,曾超林,曾超林,周建良,465188.5415,19971103,浙江,台州市
002702.SZ,滕用庄,滕用严,张颖娟,48076,20050422,福建,福州市
002926.SZ,杨炯洋,杨炯洋,曾颖,262500,20000713,四川,成都市
300139.SZ,程毅,程毅,王含静,27400,20001106,北京,北京市
300927.SZ,朱辉,朱辉,陈梅,8020,19991104,江苏,南通市
300050.SZ,王耘,王耘,许泽权,57159.6718,20011019,广东,珠海市
002408.SZ,车成聚,车成聚,张军,177520.9253,20020104,山东,淄博市
002355.SZ,魏翔,高赫男,宋晓刚,62057.04,19991228,山东,烟台市
300029.SZ,刘文平,刘文平,项新周,20000,20011228,江苏,常州市
002609.SZ,唐健,赵勇,王恒波,64427.6441,19920617,广东,深圳市
300159.SZ,匡理鹏,匡理鹏,方德松,149036.0202,20050512,新疆,乌鲁木齐市
300223.SZ,刘强,刘强,张敏,46897.7393,20050715,北京,北京市
300191.SZ,周锦明,周锦明,张卉,32000,20031110,北京,北京市
002735.SZ,王进军,王进军,白琼,15257.699,19970528,广东,深圳市
300911.SZ,孙伟勇,陈月华,丁茂国,10666.67,20030925,浙江,绍兴市
002354.SZ,沈中华,徐德伟,刘玉萍,166301.3961,20030829,辽宁,大连市
300245.SZ,苏玉军,杜力耘,武强,31345.7493,20011024,上海,上海市
002379.SZ,赵前方,张伟,肖萧,92640,20000811,山东,滨州市
002363.SZ,张海燕,张海燕,刘建,41610.0301,19940411,山东,烟台市
300433.SZ,周群飞,周群飞,钟臻卓,497347.9998,20061221,湖南,长沙市
002945.SZ,林立,朱文瑾,关晓斌,270000,19970618,西藏,拉萨市
002654.SZ,李年生,汪军,邵立伟,87450.5619,20021213,广东,深圳市
300362.SZ,叶鹏,周东来,王培勇,43699.919,20011221,四川,成都市
300736.SZ,刘铁峰,刘铁峰,陈立娅,13027.336,20071126,北京,北京市
002711.SZ,李孝国,李孝国,彭国宇,105607.04,20051228,广东,佛山市
300590.SZ,廖荣华,廖荣华,张杰,24221.7,20090611,上海,上海市
300441.SZ,陈金岳,陈金岳,徐斌,65718.9708,20080528,浙江,宁波市
002836.SZ,肖海兰,肖海兰,夏明珠,16000,20060322,广东,潮州市
002596.SZ,张海林,吴悦良,于清池,114758.0518,20020427,海南,三亚市
002692.SZ,汤兴良,俞国平,汤兴良,71814.6,20010220,江苏,无锡市
300328.SZ,杨洁丹,杨洁丹,张春联,69042.36,19930527,广东,东莞市
