code2,名称,总市值
x603036,如通股份,1665848900
x300640,德艺文创,1673466900
x300555,路通视信,1674000000
x600209,ST罗顿,1681412800
x002295,精艺股份,1681633400
x600225,*ST松江,1683886700
x000856,冀东装备,1684340000
x603007,花王股份,1685305400
x603037,凯众股份,1685764700
x300163,先锋新材,1687440000
x600769,祥龙电业,1691147200
x603829,洛凯股份,1692800000
x688078,龙软科技,1695170000
x600889,南京化纤,1699845500
x600272,开开实业,1701000000
x002321,华英农业,1709731500
x600870,ST厦华,1710862900
x002826,易明医药,1714414900
x002464,众应互联,1716703500
x000571,*ST大洲,1717675000
x688156,路德环境,1719244800
x000593,大通燃气,1721428800
x300534,陇神戎发,1726033100
x603021,山东华鹏,1727719600
x000573,粤宏远Ａ,1742506000
x000691,亚太实业,1745658000
x300275,梅安森,1745993000
x002615,哈尔斯,1747059700
x603555,*ST贵人,1747514000
x603616,韩建河山,1748425600
x002337,赛象科技,1754074900
x002856,美芝股份,1755007100
x603685,晨丰科技,1757600000
x603388,元成股份,1759326500
x300153,科泰电源,1763200000
x300608,思特奇,1765710800
x002921,联诚精密,1765824000
x002888,惠威科技,1767911400
x603178,圣龙股份,1768011800
x000613,大东海A,1773167000
x002893,华通热力,1775796400
x002207,准油股份,1779356000
x300742,越博动力,1780347600
x002417,深南股份,1782000000
x300546,雄帝科技,1782731100
x002231,奥维通信,1784000000
x603725,天安新材,1784508900
x603800,道森股份,1784640000
x603042,华脉科技,1785680000
x002725,跃岭股份,1786880000
x002693,双成药业,1790100000
x300749,顶固集创,1791128900
x002858,力盛赛车,1791217600
x002347,泰尔股份,1792548800
x000978,桂林旅游,1793298000
x603637,镇海股份,1793647000
x000782,美达股份,1795674700
x002722,金轮股份,1796881300
x002652,扬子新材,1797344600
x300338,开元教育,1801454100
x688218,江苏北人,1802342400
x600856,*ST中天,1803983800
x300235,方直科技,1807540800
x002336,ST人乐,1808400000
x300508,维宏股份,1814603500
x603895,天永智能,1814663200
x603159,上海亚虹,1815800000
x600781,*ST辅仁,1818756800
x600463,空港股份,1821000000
x300509,新美星,1822860000
x600854,春兰股份,1823299500
x300652,雷迪克,1824186500
x300631,久吾高科,1824898400
x603798,康普顿,1830000000
x603578,三星新材,1831101500
x600148,长春一东,1831222900
x603006,联明股份,1832439800
x600192,长城电工,1833254200
x000819,岳阳兴长,1833791100
x300649,杭州园林,1834240000
x000953,*ST河化,1834272200
x300779,惠城环保,1835000000
x000715,中兴商业,1837477700
x300703,创源股份,1838215800
x300606,金太阳,1839233800
x603226,菲林格尔,1840563900
x002576,通达动力,1844167000
x002348,高乐股份,1847040000
x688096,京源环保,1848667000
x600149,ST坊展,1851379200
x300745,欣锐科技,1855250200
x002682,龙洲股份,1855816400
x688081,兴图新科,1856192000
x300334,津膜科技,1857701900
x300437,清水源,1858371000
x300164,通源石油,1858979600
x603926,铁流股份,1863265600
x002766,ST索菱,1864152700
x002817,黄山胶囊,1865311700
x603559,中通国脉,1867371100
x002529,*ST海源,1869400000
x300022,吉峰科技,1870782700
x600735,新华锦,1876201600
x603955,大千生态,1877007600
x600714,金瑞矿业,1878909300
x300162,雷曼光电,1880364000
x002247,*ST聚力,1880422800
